playlist_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,0.11495,0.757,0.8605,3.065e-05,0.161,-6.2105,0.060700000000000004,102.6795,0.5315,79.0
1,0.16742285714285715,0.5322142857142858,0.6628571428571428,0.010357821428571428,0.17757142857142855,-8.556357142857143,0.11678571428571427,122.58228571428572,0.5546428571428572,73.28571428571429
2,0.30455,0.6595,0.60225,0.009862025,0.15055,-5.80075,0.04585,137.6805,0.4275,63.0
3,0.37812,0.4855714285714286,0.5322857142857143,0.30321181428571425,0.14114285714285715,-9.953999999999999,0.07098571428571429,136.44442857142857,0.4063,65.85714285714286
4,0.006826,0.4955,0.808,0.0,0.149,-6.0115,0.0416,145.8215,0.515,75.0
5,0.08735,0.704125,0.67525,0.0022294875,0.207,-6.346375,0.0776375,113.461125,0.731,73.0
6,0.019926666666666665,0.47666666666666674,0.7533333333333333,5.343333333333333e-05,0.2658333333333333,-3.9746666666666663,0.051,143.99966666666668,0.703,71.66666666666667
7,0.321,0.656,0.589,0.532,0.104,-12.332,0.0493,121.003,0.155,48.0
8,0.10758358571428571,0.512,0.7110000000000001,0.07274462714285715,0.2202,-7.355428571428571,0.057257142857142854,104.43114285714286,0.6474285714285715,70.71428571428571
10,0.0847,0.841,0.728,0.0,0.149,-3.37,0.0484,130.049,0.43,84.0
11,0.155892,0.63,0.6018,0.2586743,0.21205,-9.157300000000001,0.07272,127.4734,0.4586,59.7
13,0.45699999999999996,0.4,0.33699999999999997,0.0020905000000000003,0.131,-8.213000000000001,0.028,137.113,0.195,65.5
14,0.0698440962962963,0.46755555555555556,0.7118888888888889,0.027398961481481483,0.17244074074074073,-7.734518518518518,0.03900740740740741,118.1852962962963,0.4915259259259259,72.07407407407408
16,0.5698775,0.59625,0.57775,0.02386485,0.19305,-9.68525,0.053974999999999995,112.78975,0.3172,65.0
17,0.08263,0.5716666666666667,0.7926666666666667,0.00032853333333333337,0.15598333333333333,-5.051166666666667,0.06451666666666667,136.52133333333333,0.5966666666666667,77.0
18,0.2040833333333333,0.474,0.638,0.29600265666666664,0.0971,-6.625333333333333,0.04953333333333334,134.45666666666668,0.5203333333333333,76.33333333333333
19,0.571,0.4662,0.317,0.10725145600000001,0.1206,-12.057,0.0316,105.954,0.2822,41.2
21,0.35425,0.5505,0.54,0.000266,0.104325,-9.34075,0.0275,115.61775,0.478,72.75
22,0.2514025,0.65825,0.6045,5.4175e-06,0.15575,-5.553,0.058325,114.98675,0.45425,78.0
23,0.0035433333333333337,0.3993333333333333,0.9536666666666666,0.005170406666666666,0.33621666666666666,-3.092833333333333,0.10481666666666667,136.94266666666667,0.308,68.66666666666667
24,0.046224999999999995,0.6885,0.5545,1.79e-05,0.109,-7.351500000000001,0.03395,82.5065,0.5569999999999999,81.5
25,0.17109999999999997,0.6484,0.8204,0.000698674,0.24356,-4.0614,0.10868,129.873,0.497,58.2
26,0.626,0.466,0.496,6.22e-06,0.117,-6.606,0.0302,74.747,0.352,70.0
28,0.03172733333333334,0.8606666666666666,0.5943333333333333,0.007317966666666666,0.1366,-6.267666666666667,0.19379999999999997,143.374,0.37733333333333335,83.66666666666667
29,0.39114950000000004,0.5825,0.5755,2.055e-05,0.11699999999999999,-10.0935,0.05065,100.319,0.5345,69.5
31,0.12528,0.653,0.7889,0.012398192999999998,0.25476,-4.9734,0.08971,120.2408,0.6413,76.4
32,0.3151857142857143,0.495,0.6097142857142857,0.036413857142857144,0.28907142857142853,-8.766571428571428,0.0364,125.45814285714286,0.41385714285714287,72.57142857142857
34,0.031824,0.5875999999999999,0.7642,0.08626897200000001,0.26554,-5.3686,0.04992,120.37219999999999,0.3536,62.0
35,0.10566538461538462,0.6548461538461539,0.6403076923076922,0.00026136307692307693,0.12608461538461538,-6.201307692307693,0.05168461538461538,111.13623076923076,0.44146153846153846,68.15384615384616
37,0.107895,0.7278333333333333,0.6975000000000001,0.021402568333333333,0.11878333333333334,-6.600333333333334,0.19498333333333331,130.67816666666667,0.5267499999999999,75.83333333333333
38,0.202011,0.6713,0.6494,0.00023992700000000002,0.18944,-7.2040999999999995,0.06258,121.85060000000001,0.5455,78.3
40,0.26628999999999997,0.6165833333333334,0.6505833333333334,0.013273431666666667,0.19524166666666667,-6.061416666666666,0.07250833333333333,115.2915,0.4245833333333333,72.08333333333333
41,0.16800285714285715,0.4972857142857143,0.6449999999999999,0.0013816814285714286,0.1395,-7.055142857142857,0.04895714285714286,117.18542857142857,0.4842857142857143,75.85714285714286
42,0.18227833333333335,0.6282222222222222,0.7173333333333334,0.00012591111111111112,0.15678333333333333,-5.118611111111111,0.07860555555555555,121.01138888888889,0.5551111111111111,75.0
44,0.309925,0.60175,0.7125,0.001137675,0.143125,-4.55575,0.08827499999999999,130.95275,0.45475,73.75
45,0.1197004074074074,0.46770370370370373,0.7134444444444443,0.004514757037037036,0.22920740740740742,-7.148370370370371,0.044644444444444445,125.4345925925926,0.5052222222222222,75.25925925925925
46,0.0326,0.545,0.805,0.0,0.781,-5.792,0.0491,110.005,0.727,61.0
48,0.09215000000000001,0.5465,0.754,0.000318,0.13670000000000002,-4.38,0.0479,125.939,0.413,73.0
50,0.311,0.5776666666666667,0.7423333333333333,0.0,0.4534666666666667,-6.114333333333334,0.08466666666666667,134.99699999999999,0.6183333333333333,63.333333333333336
51,0.40380333333333335,0.5145,0.5001666666666666,0.0003831433333333334,0.1814,-7.179833333333334,0.03365,110.028,0.35483333333333333,69.16666666666667
52,0.189,0.735,0.478,2.48e-06,0.355,-12.472,0.0293,107.682,0.947,74.0
53,0.09242938461538461,0.7661538461538461,0.7715384615384615,0.0007810692307692308,0.26483076923076926,-4.777076923076923,0.18617692307692307,122.59223076923078,0.6362307692307693,77.07692307692308
55,0.3076666666666667,0.5476666666666666,0.5256666666666666,0.0031999999999999997,0.11236666666666667,-7.1436666666666655,0.033800000000000004,98.52033333333334,0.4876666666666667,77.0
59,0.14950923076923076,0.5598461538461539,0.7278461538461538,0.00010741076923076923,0.14038461538461539,-5.417076923076923,0.07893846153846154,130.03853846153845,0.5203846153846154,68.53846153846153
60,0.12200908272727272,0.6205454545454545,0.7454545454545454,0.08606206454545455,0.15846363636363636,-6.766272727272727,0.07416363636363638,112.71300000000001,0.628,73.9090909090909
61,0.455,0.537,0.66,0.0,0.135,-7.174,0.0296,148.096,0.574,78.0
62,0.07155,0.699,0.7975,0.0,0.4135,-7.9435,0.2735,110.1685,0.4205,66.0
63,0.37252833333333335,0.5085000000000001,0.6876666666666665,0.0011595283333333333,0.32608333333333334,-8.087,0.051833333333333335,135.308,0.6653333333333333,65.66666666666667
64,0.09485166666666667,0.5878333333333333,0.7018333333333334,3.0176666666666662e-05,0.22096666666666667,-6.117999999999999,0.040766666666666666,133.2433333333333,0.5688333333333333,62.333333333333336
65,0.0734345,0.6208125,0.7451875,0.053233566249999996,0.2073625,-6.792,0.06664375,129.7376875,0.65925,76.75
66,0.119825,0.63925,0.64225,0.03875,0.28495,-7.276,0.136025,120.91975000000001,0.421,66.0
68,0.04605,0.68225,0.6637500000000001,0.00285905,0.30100000000000005,-5.90725,0.077475,107.38325,0.42074999999999996,80.0
69,0.909,0.6,0.186,0.00102,0.104,-15.926,0.0317,110.044,0.468,72.0
71,0.0656,0.67075,0.79775,0.0395925,0.37925,-4.40725,0.038099999999999995,109.11225,0.70025,72.25
72,0.36145,0.806,0.7815000000000001,1.745e-06,0.442,-5.4795,0.06405,97.5005,0.7115,76.0
73,0.21425999999999998,0.7336,0.6536000000000001,3.212e-06,0.12508,-5.081799999999999,0.04704,107.00340000000001,0.6396,80.6
74,0.29533499999999996,0.4825,0.5825,5.45e-06,0.24005,-7.681,0.03825,151.065,0.21155,50.0
75,0.00933,0.417,0.706,0.000572,0.474,-4.652,0.0945,127.884,0.512,65.0
76,0.20169399999999998,0.6916,0.7098,3.7619999999999997e-06,0.2525,-4.5434,0.06772,103.35060000000001,0.5676,74.4
79,0.0654,0.876,0.71,0.00312,0.918,-12.908,0.347,98.305,0.724,62.0
80,0.40273846153846155,0.5827692307692308,0.53,0.002443331923076923,0.13994615384615386,-6.935384615384615,0.033269230769230766,122.65030769230769,0.33084615384615385,61.23076923076923
81,0.09843333333333333,0.8583333333333334,0.6846666666666668,0.0,0.0661,-3.8313333333333333,0.1506,108.85566666666666,0.755,82.66666666666667
83,0.44325000000000003,0.512,0.63625,3.3035000000000005e-05,0.1315,-8.156749999999999,0.06775,140.448,0.6799999999999999,68.0
84,0.13016666666666665,0.5996666666666667,0.7799999999999999,0.13448866666666667,0.24423333333333333,-8.551333333333334,0.1549,139.523,0.5583333333333333,75.33333333333333
